Fecha,temp_min,temp_max,temp_avg,Year,Month,date,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,temp_min_log,temp_max_log,temp_avg_log,timeIndex
1909-01,17.42258064516129,28.929032258064517,23.175806451612903,1909,1,1909-01-01,0,0,0,0,0,0,0,0,0,0,0,2.8577671031136993,3.364845667272804,3.1431089091900692,0
1909-02,16.0,26.560714285714287,21.28035714285714,1909,2,1909-02-01,1,0,0,0,0,0,0,0,0,0,0,2.772588722239781,3.279433217534051,3.057784447361611,1
1909-03,13.01290322580645,25.32903225806452,19.170967741935485,1909,3,1909-03-01,0,1,0,0,0,0,0,0,0,0,0,2.565941421034965,3.2319512579171596,2.9533970378874685,2
1909-04,11.85,23.153333333333332,17.501666666666665,1909,4,1909-04-01,0,0,1,0,0,0,0,0,0,0,0,2.47232786758114,3.1421387586478184,2.862296114489847,3
1909-05,4.441935483870967,17.916129032258063,11.179032258064515,1909,5,1909-05-01,0,0,0,1,0,0,0,0,0,0,0,1.491090201249463,2.8857013703875527,2.414039903878847,4
1909-06,3.453333333333333,13.373333333333333,8.413333333333334,1909,6,1909-06-01,0,0,0,0,1,0,0,0,0,0,0,1.2393399481632272,2.593262674425625,2.1298177490049026,5
1909-07,5.164516129032258,14.02258064516129,9.593548387096774,1909,7,1909-07-01,0,0,0,0,0,1,0,0,0,0,0,1.6418114155175227,2.6406689335096,2.2610908295409087,6
1909-08,8.274193548387096,16.706451612903226,12.490322580645161,1909,8,1909-08-01,0,0,0,0,0,0,1,0,0,0,0,2.1131414601256777,2.8157949689446995,2.5249541509172757,7
1909-09,9.370000000000001,17.796666666666667,13.583333333333334,1909,9,1909-09-01,0,0,0,0,0,0,0,1,0,0,0,2.237513096250331,2.879011173843985,2.608843551018762,8
1909-10,9.496774193548386,19.761290322580646,14.629032258064516,1909,10,1909-10-01,0,0,0,0,0,0,0,0,1,0,0,2.250952182369575,2.9837249899135285,2.683008065070045,9
1909-11,10.76,22.363333333333333,16.561666666666667,1909,11,1909-11-01,0,0,0,0,0,0,0,0,0,1,0,2.3758355547336385,3.107422712906687,2.807090788015217,10
1909-12,12.738709677419354,27.177419354838708,19.95806451612903,1909,12,1909-12-01,0,0,0,0,0,0,0,0,0,0,1,2.5446453638074575,3.3023864577413704,2.993633298051797,11
1910-01,17.40967741935484,29.141935483870967,23.2758064516129,1910,1,1910-01-01,0,0,0,0,0,0,0,0,0,0,0,2.857026225139451,3.3721782187353573,3.1474144713969405,12
1910-02,14.678571428571429,27.27857142857143,20.978571428571428,1910,2,1910-02-01,1,0,0,0,0,0,0,0,0,0,0,2.686388704321031,3.306101464616212,3.0435015085893156,13
1910-03,12.270967741935483,24.106451612903225,18.188709677419354,1910,3,1910-03-01,0,1,0,0,0,0,0,0,0,0,0,2.507236126186089,3.1824795064510982,2.9008010541931504,14
1910-04,10.156666666666666,21.233333333333334,15.695,1910,4,1910-04-01,0,0,1,0,0,0,0,0,0,0,0,2.318130304329508,3.055572273910008,2.753342190293917,15
1910-05,6.125806451612903,17.751612903225805,11.938709677419354,1910,5,1910-05-01,0,0,0,1,0,0,0,0,0,0,0,1.812510413333094,2.876476379580567,2.479786034906964,16
1910-06,5.193333333333333,16.35,10.771666666666668,1910,6,1910-06-01,0,0,0,0,1,0,0,0,0,0,0,1.6473757517744925,2.7942278973432626,2.376919230046749,17
1910-07,3.7161290322580647,13.393548387096773,8.55483870967742,1910,7,1910-07-01,0,0,0,0,0,1,0,0,0,0,0,1.3126825437766447,2.5947731273665324,2.146497053826561,18
1910-08,5.416129032258064,16.338709677419356,10.877419354838711,1910,8,1910-08-01,0,0,0,0,0,0,1,0,0,0,0,1.689381359598349,2.793537119203592,2.3866890216425545,19
1910-09,7.3533333333333335,17.486666666666668,12.420000000000002,1910,9,1910-09-01,0,0,0,0,0,0,0,1,0,0,0,1.9951537251572466,2.861438685770618,2.519308076505333,20
1910-10,10.406451612903227,20.296774193548387,15.351612903225806,1910,10,1910-10-01,0,0,0,0,0,0,0,0,1,0,0,2.3424259612059624,3.0104619666989767,2.7312205436419186,21
1910-11,13.153333333333334,25.146666666666665,19.15,1910,11,1910-11-01,0,0,0,0,0,0,0,0,0,1,0,2.57667521192636,3.2247253496570925,2.952302715626655,22
1910-12,16.0,29.316129032258065,22.65806451612903,1910,12,1910-12-01,0,0,0,0,0,0,0,0,0,0,1,2.772588722239781,3.3781378434817406,3.1205158378357605,23
1911-01,16.825806451612905,30.322580645161292,23.5741935483871,1911,1,1911-01-01,0,0,0,0,0,0,0,0,0,0,0,2.822913806127297,3.4118926707789035,3.1601526200187053,24
1911-02,16.27857142857143,27.37142857142857,21.825,1911,2,1911-02-01,1,0,0,0,0,0,0,0,0,0,0,2.78984960663638,3.309499716481447,3.0830561017256657,25
1911-03,13.83548387096774,24.961290322580645,19.398387096774194,1911,3,1911-03-01,0,1,0,0,0,0,0,0,0,0,0,2.6272365870376886,3.217326237781266,2.9651899232714793,26
1911-04,10.343333333333334,21.39,15.866666666666667,1911,4,1911-04-01,0,0,1,0,0,0,0,0,0,0,0,2.336342189792179,3.062923523094314,2.7642204725692645,27
1911-05,8.903225806451612,16.96451612903226,12.933870967741935,1911,5,1911-05-01,0,0,0,1,0,0,0,0,0,0,0,2.1864136612320038,2.8311238761101523,2.5598495267678913,28
1911-06,2.896666666666667,12.996666666666666,7.946666666666666,1911,6,1911-06-01,0,0,0,0,1,0,0,0,0,0,0,1.063560650609191,2.5646929143263963,2.0727525535290394,29
1911-07,5.27741935483871,13.312903225806451,9.29516129032258,1911,7,1911-07-01,0,0,0,0,0,1,0,0,0,0,0,1.6634372196835003,2.58873373227339,2.229493973397529,30
1911-08,5.112903225806452,13.85483870967742,9.483870967741936,1911,8,1911-08-01,0,0,0,0,0,0,1,0,0,0,0,1.631767388832189,2.6286345369391637,2.2495925628535356,31
1911-09,5.746666666666667,15.146666666666667,10.446666666666667,1911,9,1911-09-01,0,0,0,0,0,0,0,1,0,0,0,1.7486199765674375,2.717780485744786,2.346282948259765,32
1911-10,9.061290322580644,19.43548387096774,14.248387096774191,1911,10,1911-10-01,0,0,0,0,0,0,0,0,1,0,0,2.2040115296250518,2.9671004608796636,2.6566437141173345,33
1911-11,13.69,23.326666666666664,18.508333333333333,1911,11,1911-11-01,0,0,0,0,0,0,0,0,0,1,0,2.6166656393003573,3.149597198271432,2.918221081112381,34
1911-12,16.241935483870968,25.325806451612905,20.783870967741937,1911,12,1911-12-01,0,0,0,0,0,0,0,0,0,0,1,2.7875965076734706,3.2318238937190635,3.0341772516594507,35
1912-01,18.24516129032258,28.787096774193547,23.516129032258064,1912,1,1912-01-01,0,0,0,0,0,0,0,0,0,0,0,2.9038999100972167,3.359927258073231,3.157686527523512,36
1912-02,16.22758620689655,29.36896551724138,22.798275862068966,1912,2,1912-02-01,1,0,0,0,0,0,0,0,0,0,0,2.786712646306788,3.379938522160561,3.1266849130163576,37
1912-03,16.129032258064516,26.125806451612902,21.127419354838707,1912,3,1912-03-01,0,1,0,0,0,0,0,0,0,0,0,2.7806208939370456,3.262923578769798,3.0505716923585116,38
1912-04,11.229999999999999,20.60666666666667,15.918333333333333,1912,4,1912-04-01,0,0,1,0,0,0,0,0,0,0,0,2.4185887687503516,3.0256146480358606,2.767471484818591,39
1912-05,8.551612903225807,16.416129032258063,12.483870967741936,1912,5,1912-05-01,0,0,0,1,0,0,0,0,0,0,0,2.1461199088098337,2.7982643291096405,2.5244374885446357,40
1912-06,5.6866666666666665,14.776666666666667,10.231666666666667,1912,6,1912-06-01,0,0,0,0,1,0,0,0,0,0,0,1.7381242533954233,2.6930493600888523,2.32548748621135,41
1912-07,4.974193548387096,12.538709677419355,8.756451612903225,1912,7,1912-07-01,0,0,0,0,0,1,0,0,0,0,0,1.6042632566440829,2.5288206333730314,2.169790755866314,42
1912-08,5.52258064516129,13.203225806451613,9.362903225806452,1912,8,1912-08-01,0,0,0,0,0,0,1,0,0,0,0,1.7088452592224954,2.580461179013211,2.236755416092855,43
1912-09,7.7733333333333325,17.736666666666668,12.755,1912,9,1912-09-01,0,0,0,0,0,0,0,1,0,0,0,2.0506990728141816,2.875634059940168,2.5459233515937747,44
1912-10,11.351612903225806,21.64516129032258,16.498387096774195,1912,10,1912-10-01,0,0,0,0,0,0,0,0,1,0,0,2.4293598398423932,3.0747819324865353,2.8032626244178704,45
1912-11,11.943333333333333,23.636666666666667,17.79,1912,11,1912-11-01,0,0,0,0,0,0,0,0,0,1,0,2.480173242648753,3.162799178647796,2.8786365016777435,46
1912-12,16.970967741935485,28.53548387096774,22.753225806451614,1912,12,1912-12-01,0,0,0,0,0,0,0,0,0,0,1,2.8315041042516156,3.35114836094908,3.1247069290353653,47
